Component Name,Relative Path,Category,JSON Format,When To Use,How To Use,Description
Sliced Key Metric,metric/sliced-descriptive-key-metric.tsx,metric,"{ ""value"": ""..."", ""description"": ""..."" }",Single important statistic.,Pass the stat value and context.,Stylish partitioned card for a single metric.
Summary Highlight,metric/summary-highlight.tsx,metric,"{ ""text"": ""..."", ""highlight"": ""..."" }",Calling attention to a sentence.,Pass text and words to bold.,Highlights a specific metric inside a text block.
Age Distribution Bars,chart/age-distribution-bars.tsx,chart,"{ ""series"": [{ ""label"": ""..."", ""value"": 10 }] }",Demographic histograms.,Pass an array of label/value.,Bar chart typically used for age/demographics.
Area Trend Chart,chart/area-trend-chart.tsx,chart,"{ ""series"": [...] }",Time-series data.,Pass an array mapping points over time.,A beautiful area chart showing trends with mobile-safe responsive SVG sizing.
Charts,chart/charts.tsx,chart,"{ ""title"": ""..."", ""series"": [...] }",Standard bar charts.,Pass an array of data points.,Generic bar chart for multi-category data.
Donut Breakdown Chart,chart/donut-breakdown-chart.tsx,chart,"{ ""series"": [...] }",Proportions.,Pass an array of percentages summing to 100.,Minimal donut chart showing slices with token-based empty-state fallback.
Donut Chart Block,chart/donut-chart-block.tsx,chart,"{ ""series"": [...] }",Proportions with narrative.,Pass series data and description with optional palette/colorPicker.,Donut chart integrated into a reading block with standardized-token center fill.
Table,table/table.tsx,table,"{ ""headers"": [...], ""rows"": [...] }",Standard markdown tables.,Pass columns and rows array.,Clean styling for generic tabular data.
Performance Table,table/performance-table-block.tsx,table,"{ ""headers"": [...], ""rows"": [...] }",Financial or metric tables.,Pass data rows.,Emphasizes numerical data and totals with tokenized border and trend color variables.
Demographics Block,table/demographics-block.tsx,table,"{ ""profiles"": [...] }",User personas.,Pass list of user characteristics.,Table specifically laid out for demographic profiling.
Box With Icon Card,card/box-with-icon-card.tsx,card,"{ ""title"": ""..."", ""icon"": ""..."" }",Generic card block.,Pass title, content, icon.,Floating card with a prominent icon.
Challenge Solution Results,card/challenge-solution-results-cards.tsx,card,"{ ""challenge"": ""..."", ""solution"": ""..."" }",Case study formats.,Pass the 3 text blocks.,Specialized grid showing the 3 phases of a project.
Icon Card,card/icon-card.tsx,card,"{ ""icon"": ""..."", ""title"": ""..."", ""body"": ""..."" }",Feature highlights.,Use for selling points.,Simple card with an icon header.
Package Cards,card/package-cards.tsx,card,"{ ""packages"": [...] }",Pricing or tiers.,Pass array of features/prices.,Multi-card layout for showing options with secondary-token price badges.
Multi Column Section,section/multi-column-section.tsx,section,"{ ""columns"": [...] }",Dense text.,Split text into 2-3 columns.,Good for conserving vertical whitespace.
Service Category Grid,section/service-category-grid.tsx,section,"{ ""categories"": [...] }",Feature grouping.,Pass list of services.,Grid of services offered.
Service Category Item,section/service-category-item.tsx,section,N/A,Subcomponent.,Used by Service Category Grid.,Individual service item.
Service Operations Showcase,section/service-operations-showcase-section.tsx,section,"{ ""title"": ""..."", ""items"": [...] }",Highlighting multiple case metrics.,Pass complex data.,High-fidelity section combining multiple cards.
